employee_number,age,department,job_role,job_level,business_travel,overtime,marital_status,gender,monthly_income,years_at_company,tenure_band,income_quartile,job_satisfaction_label,attrition_flag,replacement_cost,replacement_cost_pct_salary
1,41,Sales,Sales Executive,2,Travel_Rarely,true,Single,Female,5993.0,6,4-6 yrs,Q3,4 Very High,1,42550.3,0.5916666666666667
2,49,Engineering,Software Engineer,2,Travel_Frequently,false,Married,Male,5130.0,10,7-10 yrs,Q3,2 Medium,0,36423.0,0.5916666666666667
4,37,Engineering,QA / Support Engineer,1,Travel_Rarely,true,Single,Male,2090.0,0,0-1 yr,Q1 (lowest),3 High,1,13794.0,0.55
5,33,Engineering,Software Engineer,1,Travel_Frequently,true,Married,Female,2909.0,8,7-10 yrs,Q1 (lowest),3 High,0,19199.4,0.55
7,27,Engineering,QA / Support Engineer,1,Travel_Rarely,false,Married,Male,3468.0,2,2-3 yrs,Q2,2 Medium,0,22888.800000000003,0.55
8,32,Engineering,QA / Support Engineer,1,Travel_Frequently,false,Single,Male,3068.0,7,7-10 yrs,Q2,4 Very High,0,20248.800000000003,0.55
10,59,Engineering,QA / Support Engineer,1,Travel_Rarely,true,Married,Female,2670.0,1,0-1 yr,Q1 (lowest),1 Low,0,17622.0,0.55
11,30,Engineering,QA / Support Engineer,1,Travel_Rarely,false,Divorced,Male,2693.0,1,0-1 yr,Q1 (lowest),3 High,0,17773.800000000003,0.55
12,38,Engineering,Platform / DevOps Lead,3,Travel_Frequently,false,Single,Male,9526.0,9,7-10 yrs,Q4 (highest),3 High,0,77160.6,0.675
13,36,Engineering,Solutions Consultant,2,Travel_Rarely,false,Married,Male,5237.0,7,7-10 yrs,Q3,3 High,0,37182.7,0.5916666666666667
14,35,Engineering,QA / Support Engineer,1,Travel_Rarely,false,Married,Male,2426.0,5,4-6 yrs,Q1 (lowest),2 Medium,0,16011.6,0.55
15,29,Engineering,QA / Support Engineer,2,Travel_Rarely,true,Single,Female,4193.0,9,7-10 yrs,Q2,3 High,0,29770.300000000003,0.5916666666666667
16,31,Engineering,Software Engineer,1,Travel_Rarely,false,Divorced,Male,2911.0,5,4-6 yrs,Q1 (lowest),3 High,0,19212.6,0.5499999999999999
18,34,Engineering,QA / Support Engineer,1,Travel_Rarely,false,Divorced,Male,2661.0,2,2-3 yrs,Q1 (lowest),4 Very High,0,17562.6,0.5499999999999999
19,28,Engineering,QA / Support Engineer,1,Travel_Rarely,true,Single,Male,2028.0,4,4-6 yrs,Q1 (lowest),3 High,1,13384.8,0.5499999999999999
20,29,Engineering,Platform / DevOps Lead,3,Travel_Rarely,false,Divorced,Female,9980.0,10,7-10 yrs,Q4 (highest),1 Low,0,80838.0,0.675
21,32,Engineering,Software Engineer,1,Travel_Rarely,true,Divorced,Male,3298.0,6,4-6 yrs,Q2,2 Medium,0,21766.800000000003,0.55
22,22,Engineering,QA / Support Engineer,1,Non-Travel,true,Divorced,Male,2935.0,1,0-1 yr,Q2,4 Very High,0,19371.0,0.55
23,53,Sales,Manager,4,Travel_Rarely,false,Married,Female,15427.0,25,10+ yrs,Q4 (highest),4 Very High,0,148099.2,0.8
24,38,Engineering,Software Engineer,1,Travel_Rarely,true,Single,Male,3944.0,3,2-3 yrs,Q2,4 Very High,0,26030.4,0.55
26,24,Engineering,Platform / DevOps Lead,2,Non-Travel,false,Divorced,Female,4011.0,4,4-6 yrs,Q2,3 High,0,28478.1,0.5916666666666667
27,36,Sales,Sales Representative,1,Travel_Rarely,false,Single,Male,3407.0,5,4-6 yrs,Q2,1 Low,1,22486.2,0.55
28,34,Engineering,Engineering Director,3,Travel_Rarely,false,Single,Female,11994.0,12,10+ yrs,Q4 (highest),2 Medium,0,97151.4,0.6749999999999999
30,21,Engineering,Software Engineer,1,Travel_Rarely,false,Single,Male,1232.0,0,0-1 yr,Q1 (lowest),4 Very High,0,8131.200000000001,0.55
31,34,Engineering,Software Engineer,1,Travel_Rarely,false,Single,Male,2960.0,4,4-6 yrs,Q2,1 Low,1,19536.0,0.55
32,53,Engineering,Manager,5,Travel_Rarely,false,Divorced,Female,19094.0,14,10+ yrs,Q4 (highest),3 High,0,202396.40000000002,0.8833333333333334
33,32,Engineering,Software Engineer,1,Travel_Frequently,true,Single,Female,3919.0,10,7-10 yrs,Q2,1 Low,1,25865.4,0.55
35,42,Sales,Sales Executive,2,Travel_Rarely,false,Married,Male,6825.0,9,7-10 yrs,Q3,2 Medium,0,48457.5,0.5916666666666667
36,44,Engineering,Solutions Consultant,3,Travel_Rarely,false,Married,Female,10248.0,22,10+ yrs,Q4 (highest),4 Very High,0,83008.8,0.675
38,46,Sales,Manager,5,Travel_Rarely,false,Single,Female,18947.0,2,2-3 yrs,Q4 (highest),1 Low,0,200838.2,0.8833333333333334
39,33,Engineering,QA / Support Engineer,1,Travel_Rarely,false,Single,Male,2496.0,1,0-1 yr,Q1 (lowest),4 Very High,0,16473.6,0.5499999999999999
40,44,Engineering,Solutions Consultant,2,Travel_Rarely,true,Married,Male,6465.0,4,4-6 yrs,Q3,4 Very High,0,45901.5,0.5916666666666667
41,30,Engineering,QA / Support Engineer,1,Travel_Rarely,false,Single,Male,2206.0,10,7-10 yrs,Q1 (lowest),3 High,0,14559.6,0.55
42,39,Sales,Sales Representative,2,Travel_Rarely,false,Married,Male,2086.0,1,0-1 yr,Q1 (lowest),4 Very High,1,14810.6,0.5916666666666667
45,24,Engineering,Software Engineer,1,Travel_Rarely,true,Married,Male,2293.0,2,2-3 yrs,Q1 (lowest),4 Very High,1,15133.800000000001,0.55
46,43,Engineering,Software Engineer,1,Travel_Rarely,false,Divorced,Female,2645.0,5,4-6 yrs,Q1 (lowest),3 High,0,17457.0,0.55
47,50,Sales,Sales Representative,1,Travel_Rarely,true,Married,Male,2683.0,3,2-3 yrs,Q1 (lowest),3 High,1,17707.800000000003,0.55
49,35,Sales,Sales Representative,1,Travel_Rarely,false,Married,Female,2014.0,2,2-3 yrs,Q1 (lowest),4 Very High,0,13292.400000000001,0.55
51,36,Engineering,Software Engineer,1,Travel_Rarely,true,Married,Female,3419.0,1,0-1 yr,Q2,1 Low,0,22565.4,0.55
52,33,Sales,Sales Executive,2,Travel_Frequently,false,Married,Female,5376.0,5,4-6 yrs,Q3,1 Low,0,38169.600000000006,0.5916666666666668
53,35,Engineering,QA / Support Engineer,1,Travel_Rarely,false,Divorced,Male,1951.0,1,0-1 yr,Q1 (lowest),4 Very High,0,12876.6,0.55
54,27,Engineering,QA / Support Engineer,1,Travel_Rarely,false,Divorced,Female,2341.0,1,0-1 yr,Q1 (lowest),1 Low,0,15450.6,0.55
55,26,Engineering,QA / Support Engineer,1,Travel_Rarely,false,Single,Male,2293.0,1,0-1 yr,Q1 (lowest),3 High,1,15133.800000000001,0.55
56,27,Sales,Sales Executive,3,Travel_Frequently,false,Single,Male,8726.0,9,7-10 yrs,Q4 (highest),3 High,0,70680.6,0.675
57,30,Engineering,QA / Support Engineer,2,Travel_Frequently,false,Single,Female,4011.0,12,10+ yrs,Q2,4 Very High,0,28478.1,0.5916666666666667
58,41,Engineering,Engineering Director,5,Travel_Rarely,false,Married,Female,19545.0,22,10+ yrs,Q4 (highest),3 High,1,207177.0,0.8833333333333333
60,34,Sales,Sales Executive,2,Non-Travel,false,Single,Male,4568.0,9,7-10 yrs,Q2,3 High,0,32432.800000000003,0.5916666666666667
61,37,Engineering,Software Engineer,1,Travel_Rarely,false,Married,Male,3022.0,1,0-1 yr,Q2,2 Medium,0,19945.2,0.55
62,46,Sales,Sales Executive,2,Travel_Frequently,true,Single,Male,5772.0,9,7-10 yrs,Q3,4 Very High,0,40981.2,0.5916666666666667
