Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AttritionFlag,TenureBand,IncomeQuartile,JobSatisfactionLabel,recruiting_pct_of_salary,onboarding_pct_of_salary,months_vacant,ramp_months,ramp_productivity_loss,annual_salary,cost_recruiting,cost_onboarding,cost_vacancy,cost_ramp,replacement_cost,replacement_cost_pct_salary
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Yes,11,3,1,0,8,0,1,6,4,0,5,1,4-6 yrs,Q3,4 Very High,0.2,0.1,2.0,3,0.5,71916,14383.2,7191.6,11986.0,8989.5,42550.3,0.5916666666666667
49,No,Travel_Frequently,279,Engineering,8,1,Life Sciences,2,3,Male,61,2,2,Software Engineer,2,Married,5130,24907,1,No,23,4,4,1,10,3,3,10,7,1,7,0,7-10 yrs,Q3,2 Medium,0.2,0.1,2.0,3,0.5,61560,12312.0,6156.0,10260.0,7695.0,36423.0,0.5916666666666667
37,Yes,Travel_Rarely,1373,Engineering,2,2,Other,4,4,Male,92,2,1,QA / Support Engineer,3,Single,2090,2396,6,Yes,15,3,2,0,7,3,3,0,0,0,0,1,0-1 yr,Q1 (lowest),3 High,0.2,0.1,1.5,3,0.5,25080,5016.0,2508.0,3135.0,3135.0,13794.0,0.55
33,No,Travel_Frequently,1392,Engineering,3,4,Life Sciences,5,4,Female,56,3,1,Software Engineer,3,Married,2909,23159,1,Yes,11,3,3,0,8,3,3,8,7,3,0,0,7-10 yrs,Q1 (lowest),3 High,0.2,0.1,1.5,3,0.5,34908,6981.6,3490.8,4363.5,4363.5,19199.4,0.55
27,No,Travel_Rarely,591,Engineering,2,1,Medical,7,1,Male,40,3,1,QA / Support Engineer,2,Married,3468,16632,9,No,12,3,4,1,6,3,3,2,2,2,2,0,2-3 yrs,Q2,2 Medium,0.2,0.1,1.5,3,0.5,41616,8323.2,4161.6,5202.0,5202.0,22888.800000000003,0.55
32,No,Travel_Frequently,1005,Engineering,2,2,Life Sciences,8,4,Male,79,3,1,QA / Support Engineer,4,Single,3068,11864,0,No,13,3,3,0,8,2,2,7,7,3,6,0,7-10 yrs,Q2,4 Very High,0.2,0.1,1.5,3,0.5,36816,7363.200000000001,3681.6000000000004,4602.0,4602.0,20248.800000000003,0.55
59,No,Travel_Rarely,1324,Engineering,3,3,Medical,10,3,Female,81,4,1,QA / Support Engineer,1,Married,2670,9964,4,Yes,20,4,1,3,12,3,2,1,0,0,0,0,0-1 yr,Q1 (lowest),1 Low,0.2,0.1,1.5,3,0.5,32040,6408.0,3204.0,4005.0,4005.0,17622.0,0.55
30,No,Travel_Rarely,1358,Engineering,24,1,Life Sciences,11,4,Male,67,3,1,QA / Support Engineer,3,Divorced,2693,13335,1,No,22,4,2,1,1,2,3,1,0,0,0,0,0-1 yr,Q1 (lowest),3 High,0.2,0.1,1.5,3,0.5,32316,6463.200000000001,3231.6000000000004,4039.5,4039.5,17773.800000000003,0.55
38,No,Travel_Frequently,216,Engineering,23,3,Life Sciences,12,4,Male,44,2,3,Platform / DevOps Lead,3,Single,9526,8787,0,No,21,4,2,0,10,2,3,9,7,1,8,0,7-10 yrs,Q4 (highest),3 High,0.2,0.1,2.5,4,0.5,114312,22862.4,11431.2,23815.0,19052.0,77160.6,0.675
36,No,Travel_Rarely,1299,Engineering,27,3,Medical,13,3,Male,94,3,2,Solutions Consultant,3,Married,5237,16577,6,No,13,3,2,2,17,3,2,7,7,7,7,0,7-10 yrs,Q3,3 High,0.2,0.1,2.0,3,0.5,62844,12568.800000000001,6284.400000000001,10474.0,7855.5,37182.7,0.5916666666666667
35,No,Travel_Rarely,809,Engineering,16,3,Medical,14,1,Male,84,4,1,QA / Support Engineer,2,Married,2426,16479,0,No,13,3,3,1,6,5,3,5,4,0,3,0,4-6 yrs,Q1 (lowest),2 Medium,0.2,0.1,1.5,3,0.5,29112,5822.400000000001,2911.2000000000003,3639.0,3639.0,16011.6,0.55
